algorithm,event,value
chacha20,cpu-cycles,116020731
chacha20,instructions,347711073
chacha20,branch-instructions,5643515
chacha20,branch-misses,218961
chacha20,cache-references,7551971
chacha20,cache-misses,283058
chacha20,stalled-cycles-frontend,3726909
chacha20,stalled-cycles-backend,0
