algorithm,event,value
aes,cpu-cycles,408330487
aes,instructions,537659518
aes,branch-instructions,94095198
aes,branch-misses,241365
aes,cache-references,7836422
aes,cache-misses,406097
aes,stalled-cycles-frontend,5605194
aes,stalled-cycles-backend,0
